CHR	CENTER	MEAN_DELTA	N_SNPS
2	15235781	0.008755	9005
2	15335781	0.009862	8620
2	15435781	0.010815	8548
2	15535781	0.001965	8418
2	15635781	-0.004243	8452
2	15735781	-0.009396	8078
2	15835781	-0.008796	8101
2	15935781	-0.010024	8141
2	16035781	-0.013166	8250
2	16135781	-0.010263	8609
2	16235781	-0.006618	8682
2	16335781	-0.008184	9064
2	16435781	-0.016973	8928
2	16535781	-0.014968	9066
2	16635781	-0.007964	9082
2	16735781	-0.007520	9793
2	16835781	-0.010810	10211
2	16935781	-0.010434	10276
2	17035781	-0.006552	10455
2	17135781	-0.000139	10953
2	17235781	-0.002874	11272
2	17335781	-0.002384	11402
2	17435781	0.000251	11550
2	17535781	0.003168	11305
2	17635781	0.002954	10992
2	17735781	0.004266	10543
2	17835781	0.010648	10217
2	17935781	0.011594	10230
2	18035781	0.008606	9684
2	18135781	0.000954	9223
2	18235781	0.002440	8966
2	18335781	0.007771	8526
2	18435781	-0.007777	8568
2	18535781	-0.007563	8727
2	18635781	-0.013456	8860
2	18735781	-0.014600	8868
2	18835781	-0.015560	9211
2	18935781	-0.016262	9457
2	19035781	-0.019951	9733
2	19135781	-0.017045	9767
2	19235781	-0.019442	9838
2	19335781	-0.024803	9822
2	19435781	-0.006406	9712
2	19535781	-0.009147	9871
2	19635781	-0.010174	10006
2	19735781	-0.009707	10210
2	19835781	-0.013469	10227
2	19935781	-0.017613	10061
2	20035781	-0.011853	10286
2	20135781	-0.015571	10262
2	20235781	-0.012574	10461
2	20335781	-0.012192	11331
2	20435781	-0.016114	11532
2	20535781	-0.019716	11377
2	20635781	-0.013675	11381
2	20735781	-0.011596	11042
2	20835781	-0.008079	10937
2	20935781	-0.003645	11191
2	21035781	-0.002193	11090
2	21135781	-0.000058	10666
2	21235781	-0.006998	10536
2	21335781	-0.006956	9985
2	21435781	-0.007989	9461
2	21535781	-0.001219	8880
2	21635781	-0.005165	7930
2	21735781	-0.007616	7133
2	21835781	-0.010582	5911
2	21935781	-0.013953	4795
2	22035781	-0.024342	3765
2	22135781	-0.028447	3182
2	22235781	-0.016928	2098
2	22335781	-0.003087	1035
2	22435781	-0.003090	476
2	22535781	-0.006816	57
2	22635781	-0.028135	27
3	501323	0.006800	7472
3	601323	0.010555	8307
3	701323	0.013979	9186
3	801323	0.011325	9721
3	901323	0.011307	10136
3	1001323	0.019205	10796
3	1101323	0.030004	10422
3	1201323	0.016673	10613
3	1301323	0.017513	9513
3	1401323	0.010491	9475
3	1501323	0.015664	9211
3	1601323	-0.005058	9219
3	1701323	-0.009275	9127
3	1801323	-0.007316	8951
3	1901323	-0.005550	9040
3	2001323	-0.017634	8872
3	2101323	-0.013539	9072
3	2201323	0.003266	9183
3	2301323	0.007864	9473
3	2401323	0.007964	9724
3	2501323	0.003188	10448
3	2601323	0.016850	10673
3	2701323	0.012700	11074
3	2801323	0.011480	11228
3	2901323	0.014188	11112
3	3001323	0.020183	11348
3	3101323	0.015137	11323
3	3201323	0.017803	11258
3	3301323	0.030121	11202
3	3401323	0.044162	11086
3	3501323	0.047495	10289
3	3601323	0.044431	10075
3	3701323	0.058998	9884
3	3801323	0.047956	9889
3	3901323	0.031987	9949
3	4001323	0.035092	10227
3	4101323	0.046114	10305
3	4201323	0.024847	10261
3	4301323	0.010430	10197
3	4401323	0.004765	10036
3	4501323	0.007292	10173
3	4601323	0.028322	10199
3	4701323	0.027014	9771
3	4801323	0.042811	9965
3	4901323	0.045594	9884
3	5001323	0.034480	9032
3	5101323	0.024105	8361
3	5201323	0.044657	7618
3	5301323	0.051956	7096
3	5401323	0.030244	6624
3	5501323	0.027886	6062
3	5601323	0.008263	5695
3	5701323	0.007655	5617
3	5801323	-0.027639	5128
3	5901323	-0.052295	4881
3	6001323	-0.077105	5324
3	6101323	-0.080071	5378
3	6201323	-0.077422	6431
3	6301323	-0.074899	6776
3	6401323	-0.058296	6753
3	6501323	-0.039401	7016
3	6601323	-0.053037	6893
3	6701323	-0.062013	6862
3	6801323	-0.042585	6715
3	6901323	-0.028278	6812
3	7001323	0.014322	6613
3	7101323	0.010196	7159
3	7201323	0.014620	6620
3	7301323	0.031458	6618
3	7401323	0.025051	6959
3	7501323	0.033951	7039
3	7601323	0.023399	7399
3	7701323	0.021376	7645
3	7801323	0.033879	7588
3	7901323	0.044633	7309
3	8001323	0.024310	7131
3	8101323	0.023622	7015
3	8201323	0.027994	7179
3	8301323	0.017752	6996
3	8401323	0.020396	6711
3	8501323	-0.003836	6562
3	8601323	0.008809	6425
3	8701323	0.021788	6693
3	8801323	0.003653	7072
3	8901323	-0.013981	7624
3	9001323	-0.010603	7671
3	9101323	-0.026544	7683
3	9201323	-0.050824	7585
3	9301323	-0.056206	7677
3	9401323	-0.050210	7818
3	9501323	-0.040199	8073
3	9601323	-0.014827	8152
3	9701323	-0.004041	7952
3	9801323	0.000950	7701
3	9901323	0.003066	7414
3	10001323	-0.000135	7232
3	10101323	0.019827	7097
3	10201323	0.036477	6918
3	10301323	0.027960	7223
3	10401323	0.029086	7087
3	10501323	0.002720	7171
3	10601323	-0.046411	7334
3	10701323	-0.072321	7119
3	10801323	-0.070346	6864
3	10901323	-0.063468	6543
3	11001323	-0.095273	6886
3	11101323	-0.102891	6460
3	11201323	-0.117522	6267
3	11301323	-0.128318	5641
3	11401323	-0.137717	5215
3	11501323	-0.099051	4682
3	11601323	-0.064402	4165
3	11701323	-0.079127	4264
3	11801323	-0.078377	4570
3	11901323	-0.083709	4506
3	12001323	-0.011217	4159
3	12101323	-0.011050	4417
3	12201323	-0.039396	4611
3	12301323	-0.009468	4959
3	12401323	0.005854	5616
3	12501323	-0.005220	6152
3	12601323	-0.007118	6670
3	12701323	0.014567	6626
3	12801323	-0.003588	6859
3	12901323	0.000484	7120
3	13001323	-0.006146	7156
3	13101323	-0.003787	7394
3	13201323	0.035590	7374
3	13301323	0.029817	7541
3	13401323	0.014220	7459
3	13501323	0.003355	7524
3	13601323	0.002300	7414
3	13701323	-0.000496	7281
3	13801323	0.014533	6858
3	13901323	0.022552	7032
3	14001323	0.030618	7248
3	14101323	0.046741	7279
3	14201323	0.027141	7011
3	14301323	0.018879	6910
3	14401323	0.019085	6648
3	14501323	0.024465	6433
3	14601323	0.023768	6591
3	14701323	0.028922	6743
3	14801323	0.020665	7048
3	14901323	0.006794	6830
3	15001323	0.004130	6407
3	15101323	-0.023493	6346
3	15201323	-0.010119	6466
3	15301323	-0.015655	6275
3	15401323	-0.001984	6641
3	15501323	-0.011523	6603
3	15601323	0.001387	6708
3	15701323	-0.010691	7127
3	15801323	-0.004911	7044
3	15901323	-0.001963	7426
3	16001323	-0.019821	8139
3	16101323	-0.010188	8822
3	16201323	-0.013759	9330
3	16301323	-0.003868	9979
3	16401323	-0.028484	10440
3	16501323	-0.040575	10836
3	16601323	-0.050243	10606
3	16701323	-0.054243	10092
3	16801323	-0.052820	10396
3	16901323	-0.056604	10361
3	17001323	-0.050497	10357
3	17101323	-0.049482	10129
3	17201323	-0.049409	10010
3	17301323	-0.038417	9928
3	17401323	-0.023670	9614
3	17501323	-0.008646	9567
3	17601323	-0.011035	10049
3	17701323	-0.009594	10601
3	17801323	-0.011310	10243
3	17901323	0.003087	9922
3	18001323	0.028717	10483
3	18101323	0.030811	10470
3	18201323	0.035417	10615
3	18301323	0.031513	10516
3	18401323	0.034341	10389
3	18501323	0.050535	10517
3	18601323	0.063596	10502
3	18701323	0.059530	10280
3	18801323	0.040396	10731
3	18901323	0.030743	11102
3	19001323	-0.011808	10864
3	19101323	-0.011872	10675
3	19201323	-0.012060	10637
3	19301323	-0.024166	10368
3	19401323	-0.016749	10244
3	19501323	-0.026982	9937
3	19601323	-0.038131	9513
3	19701323	-0.038416	9685
3	19801323	-0.021110	9539
3	19901323	-0.020486	9750
3	20001323	0.009727	9725
3	20101323	0.009021	9783
3	20201323	0.006772	9687
3	20301323	0.012495	10459
3	20401323	0.002279	10881
3	20501323	-0.009273	11500
3	20601323	-0.008526	11775
3	20701323	-0.003910	11959
3	20801323	-0.006311	12234
3	20901323	-0.008090	12360
3	21001323	-0.007062	12206
3	21101323	-0.014194	12193
3	21201323	-0.013209	11653
3	21301323	-0.020575	10142
3	21401323	-0.016919	9010
3	21501323	-0.005454	7548
3	21601323	-0.006131	6443
3	21701323	-0.006599	5211
3	21801323	0.000567	3965
3	21901323	0.012948	2580
3	22001323	-0.020980	1447
3	22101323	0.029717	375
4	522095	0.005470	5503
4	622095	-0.000327	6430
4	722095	0.000892	7278
4	822095	0.001863	7755
4	922095	0.005185	7900
4	1022095	0.001982	7982
4	1122095	0.002213	8231
4	1222095	-0.001043	8832
4	1322095	-0.003161	8940
4	1422095	-0.003152	9085
4	1522095	-0.000773	9632
4	1622095	0.004526	9601
4	1722095	0.004212	9679
4	1822095	0.003135	9768
4	1922095	0.000546	9710
4	2022095	-0.001979	9456
4	2122095	-0.004284	9435
4	2222095	-0.004698	9804
4	2322095	-0.006227	9539
4	2422095	-0.001142	9906
4	2522095	-0.004770	9844
4	2622095	-0.009132	10191
4	2722095	-0.010185	10042
4	2822095	-0.010957	10192
4	2922095	-0.009553	9961
4	3022095	-0.005798	9966
4	3122095	-0.004784	9810
4	3222095	-0.002068	9330
4	3322095	-0.002543	9495
4	3422095	-0.004532	9246
4	3522095	0.000840	9328
4	3622095	0.003352	9322
4	3722095	0.003729	9361
4	3822095	0.005412	9565
4	3922095	0.004504	9853
4	4022095	0.003070	10242
4	4122095	0.006231	10485
4	4222095	0.007928	10674
4	4322095	0.010423	10587
4	4422095	0.008937	10563
4	4522095	0.007829	10224
4	4622095	0.008050	10047
4	4722095	0.009295	9806
4	4822095	0.007619	9500
4	4922095	0.007335	9378
4	5022095	0.003600	9128
4	5122095	-0.002250	8836
4	5222095	-0.005290	8507
4	5322095	-0.007211	8571
4	5422095	-0.004592	8239
4	5522095	-0.005547	8202
4	5622095	-0.006929	7949
4	5722095	-0.019564	8585
4	5822095	-0.018069	8764
4	5922095	-0.020007	8309
4	6022095	-0.020014	7893
4	6122095	-0.017716	7757
4	6222095	-0.023248	7802
4	6322095	-0.023936	7597
4	6422095	-0.024130	7846
4	6522095	-0.023571	7977
4	6622095	-0.024424	7953
4	6722095	-0.013936	7598
4	6822095	-0.013626	7749
4	6922095	-0.007441	8209
4	7022095	-0.008533	8972
4	7122095	-0.009790	9422
4	7222095	-0.002246	9247
4	7322095	-0.011531	9619
4	7422095	-0.014325	9481
4	7522095	-0.019205	9385
4	7622095	-0.015081	9556
4	7722095	-0.011164	9451
4	7822095	-0.012058	9160
4	7922095	-0.015994	8910
4	8022095	-0.013491	8579
4	8122095	-0.008641	9236
4	8222095	-0.005576	10303
4	8322095	0.003026	10083
4	8422095	0.005385	10102
4	8522095	0.009651	10222
4	8622095	0.010277	10125
4	8722095	0.005738	10356
4	8822095	0.003468	10623
4	8922095	0.003612	10814
4	9022095	0.006796	10557
4	9122095	0.006666	9414
4	9222095	0.003232	8321
4	9322095	0.002109	8205
4	9422095	0.000545	7991
4	9522095	-0.000738	7371
4	9622095	-0.005641	7042
4	9722095	-0.001904	6620
4	9822095	0.003047	6013
4	9922095	0.004082	5930
4	10022095	0.003454	5662
4	10122095	0.000539	5773
4	10222095	0.003776	6233
4	10322095	0.004441	6504
4	10422095	0.002722	6794
4	10522095	0.000802	7566
4	10622095	0.004295	7959
4	10722095	0.004011	8029
4	10822095	0.000066	8321
4	10922095	-0.001027	8471
4	11022095	0.000243	8892
4	11122095	0.002414	8920
4	11222095	0.003682	8864
4	11322095	0.007148	8962
4	11422095	0.004564	8786
4	11522095	0.000702	8597
4	11622095	-0.003002	8257
4	11722095	-0.002853	8178
4	11822095	-0.000204	8103
4	11922095	-0.000432	7740
4	12022095	-0.004959	7426
4	12122095	-0.005965	7381
4	12222095	-0.010451	6922
4	12322095	-0.013952	6491
4	12422095	-0.014619	6634
4	12522095	-0.007836	6605
4	12622095	-0.008260	6924
4	12722095	-0.009531	7157
4	12822095	-0.004546	7477
4	12922095	0.000995	7775
4	13022095	0.003849	7986
4	13122095	0.005725	8064
4	13222095	0.002363	8480
4	13322095	0.001536	8531
4	13422095	0.006699	8171
4	13522095	0.005883	7891
4	13622095	0.003000	7944
4	13722095	0.004479	8473
4	13822095	0.002170	8286
4	13922095	-0.004575	8170
4	14022095	-0.006075	8483
4	14122095	-0.008997	8363
4	14222095	-0.006659	8245
4	14322095	-0.005778	8218
4	14422095	-0.003748	8555
4	14522095	-0.000893	9040
4	14622095	0.003663	9487
4	14722095	0.001797	8962
4	14822095	0.000007	8939
4	14922095	0.002782	8886
4	15022095	0.002645	8247
4	15122095	0.001458	7969
4	15222095	0.000795	7681
4	15322095	-0.001329	7971
4	15422095	-0.003391	7621
4	15522095	-0.005845	7221
4	15622095	-0.005506	6733
4	15722095	-0.002953	6870
4	15822095	0.000209	7458
4	15922095	0.001543	8123
4	16022095	0.003188	8847
4	16122095	0.006680	9363
4	16222095	0.005183	9971
4	16322095	0.007868	9877
4	16422095	0.008303	10489
4	16522095	0.008484	10779
4	16622095	0.007933	10634
4	16722095	0.008251	10463
4	16822095	0.008469	9659
4	16922095	0.006692	9257
4	17022095	0.005520	9092
4	17122095	0.002813	9426
4	17222095	0.004866	9132
4	17322095	0.003604	9290
4	17422095	0.002095	9354
4	17522095	0.002784	9097
4	17622095	0.002651	9232
4	17722095	-0.000543	9488
4	17822095	-0.004472	10204
4	17922095	-0.001155	10710
4	18022095	-0.002258	10526
4	18122095	0.001317	10076
4	18222095	-0.004989	10178
4	18322095	-0.006860	10141
4	18422095	-0.007795	10505
4	18522095	-0.008713	11057
4	18622095	-0.008788	11697
4	18722095	-0.011222	12083
4	18822095	-0.008732	11824
4	18922095	-0.009902	11504
4	19022095	-0.007638	11907
4	19122095	-0.013965	12395
4	19222095	-0.008925	12639
4	19322095	-0.009893	13070
4	19422095	-0.015147	12722
4	19522095	-0.014524	12316
4	19622095	-0.016737	11740
4	19722095	-0.012456	11179
4	19822095	-0.010526	11710
4	19922095	-0.014888	12170
4	20022095	-0.013991	12957
4	20122095	-0.010408	12707
4	20222095	-0.013600	12148
4	20322095	-0.012340	11226
4	20422095	-0.008842	11373
4	20522095	-0.009992	12408
4	20622095	-0.009034	12149
4	20722095	-0.010986	11807
4	20822095	-0.013292	10783
4	20922095	-0.011338	9238
4	21022095	-0.015780	7231
4	21122095	-0.019061	6161
4	21222095	-0.015010	5456
4	21322095	-0.016022	4948
4	21422095	-0.011468	3658
4	21522095	-0.012850	1847
4	21622095	-0.010971	1106
4	21722095	0.005039	605
4	21822095	-0.006361	36
4	21922095	-0.004431	20
4	22022095	-0.008254	15
5	502769	0.003276	6806
5	602769	0.001363	7544
5	702769	-0.002910	8906
5	802769	-0.002450	9396
5	902769	-0.000872	10281
5	1002769	-0.001944	10394
5	1102769	-0.006115	10582
5	1202769	-0.004489	11288
5	1302769	-0.003693	11797
5	1402769	-0.005214	11996
5	1502769	-0.001866	11891
5	1602769	-0.000808	12128
5	1702769	0.005385	11492
5	1802769	0.003389	11898
5	1902769	0.002225	11829
5	2002769	0.005919	12166
5	2102769	0.007747	12151
5	2202769	0.005242	11560
5	2302769	0.001991	11285
5	2402769	0.001926	11247
5	2502769	0.000933	11912
5	2602769	-0.001907	12530
5	2702769	-0.002315	13103
5	2802769	-0.002294	13141
5	2902769	-0.002618	12944
5	3002769	-0.005573	12925
5	3102769	-0.004899	12778
5	3202769	-0.004561	13157
5	3302769	0.000235	13873
5	3402769	0.003362	14203
5	3502769	0.004822	13648
5	3602769	0.012723	13298
5	3702769	0.015392	12787
5	3802769	0.014412	12677
5	3902769	0.015434	12817
5	4002769	0.013597	12328
5	4102769	0.012877	12579
5	4202769	0.013954	12097
5	4302769	0.007774	11317
5	4402769	0.007864	10670
5	4502769	0.006967	10212
5	4602769	0.000281	9343
5	4702769	-0.004823	9252
5	4802769	-0.003203	9136
5	4902769	-0.004545	9300
5	5002769	-0.004422	9388
5	5102769	-0.003991	8371
5	5202769	-0.007727	8235
5	5302769	-0.002752	8262
5	5402769	-0.011889	8364
5	5502769	-0.015929	8833
5	5602769	-0.022138	9287
5	5702769	-0.025816	10034
5	5802769	-0.024578	10183
5	5902769	-0.028980	9809
5	6002769	-0.026766	9930
5	6102769	-0.026774	10680
5	6202769	-0.023440	10952
5	6302769	-0.027176	11147
5	6402769	-0.018018	11351
5	6502769	-0.015492	11246
5	6602769	-0.010186	11003
5	6702769	-0.005512	9961
5	6802769	-0.006979	9733
5	6902769	0.001776	9834
5	7002769	0.004099	9813
5	7102769	0.007562	9691
5	7202769	0.008920	9786
5	7302769	0.012950	9721
5	7402769	0.010591	9749
5	7502769	0.010129	9748
5	7602769	0.009133	10405
5	7702769	0.008825	10895
5	7802769	0.009664	10785
5	7902769	0.005529	10924
5	8002769	0.003449	10566
5	8102769	0.004938	10158
5	8202769	0.003346	10278
5	8302769	0.002559	10409
5	8402769	0.000435	10129
5	8502769	0.002734	9779
5	8602769	0.004379	10044
5	8702769	0.002316	10216
5	8802769	0.002786	10142
5	8902769	0.003517	10091
5	9002769	0.000704	10463
5	9102769	-0.003951	10786
5	9202769	0.000182	10732
5	9302769	-0.001078	10948
5	9402769	-0.003391	11799
5	9502769	-0.001349	12664
5	9602769	-0.002666	12037
5	9702769	-0.004582	12029
5	9802769	-0.006157	12657
5	9902769	-0.005962	12566
